Name,ID,Team,Position,Cost,OfficialFPLSite,theFPLKiwi,FPLReview,Average
Summerville,240,LEE,MID,4.5,0.5,0.04,0.31,0.2833333333333333
Diop,470,WHU,DEF,4.5,0.8,0.0,0.05,0.2833333333333333
Rak-Sakyi,172,CRY,MID,4.5,0.5,0.04,0.25,0.2633333333333333
Gbamin,187,EVE,MID,4.5,0.5,0.16,0.11,0.25666666666666665
Plange,496,CRY,FWD,4.5,0.5,0.26,0.0,0.2533333333333333
Nkounkou,198,EVE,DEF,4.0,0.5,0.05,0.19,0.24666666666666665
Hennessey,518,NFO,GK,4.0,0.5,0.06,0.16,0.24000000000000002
Lavia,321,SOU,MID,4.5,0.5,0.0,0.17,0.22333333333333333
Chalobah,203,FUL,MID,4.5,-0.5,0.51,0.66,0.22333333333333333
Dennis,77,BOU,GK,4.0,0.5,0.11,0.03,0.21333333333333332
Begović,176,EVE,GK,4.0,0.5,0.08,0.06,0.2133333333333333
Klaesson,236,LEE,GK,4.0,0.5,0.07,0.06,0.21000000000000002
Kozłowski,126,BHA,MID,4.5,0.5,0.04,0.02,0.18666666666666668
Steele,102,BHA,GK,4.0,0.5,0.03,0.02,0.18333333333333335
Gyabi,247,LEE,MID,4.5,0.5,0.04,0.01,0.18333333333333335
Sarmiento,119,BHA,MID,4.5,0.5,0.04,0.0,0.18
Dräger,386,NFO,DEF,4.0,0.5,0.0,0.01,0.16999999999999998
Caballero,424,SOU,GK,4.0,0.5,0.0,0.0,0.16666666666666666
Matthews,495,CRY,GK,4.0,0.5,0.0,0.0,0.16666666666666666
Lis,421,SOU,GK,4.0,0.5,0.0,0.0,0.16666666666666666
Rondón,177,EVE,FWD,5.0,0.0,0.26,0.0,0.08666666666666667
Knockaert,202,FUL,MID,5.0,0.0,0.04,0.2,0.08
Downes,509,WHU,MID,4.5,0.0,0.0,0.19,0.06333333333333332
Parrott,453,TOT,FWD,4.5,0.0,0.0,0.11,0.03666666666666667
Bertrand,250,LEI,DEF,4.0,0.0,0.04,0.07,0.03666666666666667
Richards,511,NFO,DEF,4.5,0.0,0.08,0.01,0.03
Branthwaite,196,EVE,DEF,4.0,0.0,0.06,0.0,0.019999999999999997
Bidstrup,99,BRE,MID,4.5,0.0,0.04,0.0,0.013333333333333332
Richards,121,BHA,MID,4.5,0.0,0.04,0.0,0.013333333333333332
Thompson,98,BRE,DEF,4.0,0.0,0.0,0.02,0.006666666666666666
Onomah,216,FUL,MID,4.5,-0.5,0.31,0.18,-0.003333333333333336
Kongolo,208,FUL,DEF,4.0,-0.5,0.24,0.2,-0.019999999999999997
Gazzaniga,207,FUL,GK,4.0,-0.5,0.08,0.06,-0.12
Stansfield,219,FUL,FWD,4.5,-0.5,0.0,0.0,-0.16666666666666666
Augustinsson,525,AVL,DEF,4.5,2.3,0.08,,
Mee,526,BRE,DEF,4.5,1.8,1.64,,
Roberts,122,BHA,DEF,4.0,0.0,,,
Koulibaly,520,CHE,DEF,5.5,3.1,3.62,,
Francois,521,FUL,MID,4.5,-0.5,0.04,,
Roberts,229,LEE,MID,5.0,0.0,,,
Raphinha,232,LEE,MID,7.0,0.0,,,
Shackleton,234,LEE,MID,4.5,0.0,,,
R.Williams,498,LIV,DEF,4.0,0.0,,,
Davies,499,LIV,DEF,4.0,0.0,,,
Steffen,310,MCI,GK,4.0,0.0,,,
Clark,352,NEW,DEF,4.5,0.0,,,
Gayle,361,NEW,FWD,4.5,0.0,,,
Hendrick,375,NEW,MID,4.5,0.0,,,
Samba,382,NFO,GK,4.5,0.0,,,
Panzo,389,NFO,DEF,4.0,0.0,,,
Toffolo,523,NFO,DEF,4.5,1.3,2.42,,
O'Brien,524,NFO,MID,5.0,1.0,1.88,,
Lingard,527,NFO,MID,6.0,1.6,3.0,,
Smallbone,415,SOU,MID,4.5,0.5,,,
Bergwijn,437,TOT,MID,5.5,0.0,,,
Spence,522,TOT,DEF,4.5,2.3,0.1,,
Fabio Silva,488,WOL,FWD,5.5,0.0,,,
